OID_,BtHWp100,BtHWp200,BtHWp300,BtHWp400,BtHWp500,BtHWp600,BtHWp700,BtHWp800,BtHWp900,BtHWp1000,Weekday
1,66304.875,230027.3438,536644.75,970243.3125,1355260.875,1582169.25,1905356,2205499,2690450.25,3412461.75,238
2,134479.0938,1013224.938,3518960,9324701,23389066,46334504,68747360,84253552,95054768,103261448,239
3,5449.217285,68337.80469,198317.5781,260046.4688,336211.125,486485.0625,740181.3125,916743.9375,1072884.25,1357727,33
4,72765.03906,914878.875,4121099.75,13363932,29525222,58826604,96657256,142303424,205525168,289374752,535
5,38.915062,63.8142471,63.8142471,63.8142471,63.8142471,63.8142471,63.8142471,63.8142471,63.8142471,63.8142471,282
6,1303.408325,2172.415283,2172.415283,2172.415283,2172.415283,2172.415283,2172.415283,2172.415283,2172.415283,2172.415283,168
7,811.0423584,941.5002441,941.5002441,941.5002441,941.5002441,941.5002441,941.5002441,941.5002441,941.5002441,941.5002441,252
8,1610.529663,6655.534668,31467.82031,64862.22266,83751.47656,87208.79688,87975.44531,90874.28906,92278.61719,94337.70313,17
9,29.1938782,1691.271484,12644.80469,116866.3672,377525.1563,710032,808327.375,815508.3125,817070.3125,818763,435
10,22854.4082,22854.4082,310125.5938,1164593.875,3441413.75,6637917,11339396,16057954,23278884,29559124,132
11,11583.78418,117823.5313,552732.75,1035157.625,1723095.625,2619681.75,3885154,5014677.5,6185034.5,7129403,142
12,145268.3125,1961166.5,5137813,9053017,17879302,34903652,55633220,72496208,86958056,100654712,56
13,38402.25391,219330.1563,494135.5625,864287.5625,1292276,1707678.75,2130397.5,2380792.5,2744649.75,3244675,111
14,104598.2656,1186572.25,4946620.5,15465901,38633000,73468696,118381544,159993472,203969664,248066544,96
15,111446.8203,1037332.375,3676520.75,9863293,25539826,59895576,120092640,204796736,325953120,474324224,805
16,19197.38477,263197.0625,973677.0625,2822194.75,4349466.5,6211360,8819024,10657666,12555167,14079181,144
17,29738.86133,390821.625,2046961.75,7798978.5,20353708,45221872,78632560,120343176,177774624,252928720,954
18,24582.88672,222296.7656,805188.125,1490487.375,1948538.75,2297745.75,2514453.5,2708905.5,2790515.25,2905373.5,85
19,5482.786133,125304.0078,403136.3125,1032016.813,1702278.125,2688455.75,3652419.75,4066849.75,4516619,4756431,232
20,158229.75,1149551.625,4600701,13739927,35092352,66682416,100425552,142453952,198281200,266607744,287
21,3229.933106,17890.95117,50859.83203,93928.99219,200243.7188,476309.0625,1074053.5,2229345.25,4475753,8128052.5,164
22,2100.045166,15919.56738,18702.35742,28933.69727,43799.78906,84843.28125,171624.4063,318948,605020.5,924974.625,26
23,3421.311523,231296.2969,1049874.375,4459594.5,14700122,39450472,86553096,171171872,298417408,478175456,250
24,2.9668684,2.9668684,2.9668684,2.9668684,2.9668684,2.9668684,2.9668684,2.9668684,2.9668684,2.9668684,209
25,25524.80273,112441.5234,323000,405408.4688,685332.5625,1044617.25,1435166.75,1759354.875,2059588.5,2213285.25,104
26,124035.4766,1131160.375,4478595,14036014,33911524,65747520,119813112,208025696,327791072,489924320,429
27,57893.57031,504745.9688,1373698.125,3349617,6768019.5,13687761,26338136,47011312,72332888,104376336,680
28,19639.44531,56476.41797,107705.8203,127192.9219,143445.0313,159611.5156,175156.0938,190173.4375,211458.2031,249807.8438,55
29,91436.61719,811269.75,2514356.5,4517429.5,7637631.5,12293908,19053238,25589968,32373626,36962656,167
30,196520.8438,752626.1875,1135170.375,1933753.25,3222343.5,6037268,9541223,13304846,17162464,21277480,192
31,3421.311523,231296.2969,1049874.375,4459594.5,14700122,39450472,86553096,171171872,298417408,478175456,259
