LConn,LLen,LFrac,LAC,LSin,LBear,HMf,HMb,MHDWp100,NQPDHWp100,BtHWp100,TPBtHWp100,TPDWp100,Lnk100,Len100,AngD100,WtWp100,Jnc100,Con100,MGLHWp100,MCFWp100,DivHWp100,HullA100,HullP100,HullR100,HullB100,HullSI100,MHDWp200,NQPDHWp200,BtHWp200,TPBtHWp200,TPDWp200,Lnk200,Len200,AngD200,WtWp200,Jnc200,Con200,MGLHWp200,MCFWp200,DivHWp200,HullA200,HullP200,HullR200,HullB200,HullSI200,MHDWp300,NQPDHWp300,BtHWp300,TPBtHWp300,TPDWp300,Lnk300,Len300,AngD300,WtWp300,Jnc300,Con300,MGLHWp300,MCFWp300,DivHWp300,HullA300,HullP300,HullR300,HullB300,HullSI300,MHDWp400,NQPDHWp400,BtHWp400,TPBtHWp400,TPDWp400,Lnk400,Len400,AngD400,WtWp400,Jnc400,Con400,MGLHWp400,MCFWp400,DivHWp400,HullA400,HullP400,HullR400,HullB400,HullSI400,MHDWp500,NQPDHWp500,BtHWp500,TPBtHWp500,TPDWp500,Lnk500,Len500,AngD500,WtWp500,Jnc500,Con500,MGLHWp500,MCFWp500,DivHWp500,HullA500,HullP500,HullR500,HullB500,HullSI500,MHDWp600,NQPDHWp600,BtHWp600,TPBtHWp600,TPDWp600,Lnk600,Len600,AngD600,WtWp600,Jnc600,Con600,MGLHWp600,MCFWp600,DivHWp600,HullA600,HullP600,HullR600,HullB600,HullSI600,MHDWp700,NQPDHWp700,BtHWp700,TPBtHWp700,TPDWp700,Lnk700,Len700,AngD700,WtWp700,Jnc700,Con700,MGLHWp700,MCFWp700,DivHWp700,HullA700,HullP700,HullR700,HullB700,HullSI700,MHDWp800,NQPDHWp800,BtHWp800,TPBtHWp800,TPDWp800,Lnk800,Len800,AngD800,WtWp800,Jnc800,Con800,MGLHWp800,MCFWp800,DivHWp800,HullA800,HullP800,HullR800,HullB800,HullSI800,MHDWp900,NQPDHWp900,BtHWp900,TPBtHWp900,TPDWp900,Lnk900,Len900,AngD900,WtWp900,Jnc900,Con900,MGLHWp900,MCFWp900,DivHWp900,HullA900,HullP900,HullR900,HullB900,HullSI900,MHDWp1000,NQPDHWp1000,BtHWp1000,TPBtHWp1000,TPDWp1000,Lnk1000,Len1000,AngD1000,WtWp1000,Jnc1000,Con1000,MGLHWp1000,MCFWp1000,DivHWp1000,HullA1000,HullP1000,HullR1000,HullB1000,HullSI1000,MHDWpn,NQPDHWpn,BtHWpn,TPBtHWpn,TPDWpn,Lnkn,Lenn,AngDn,WtWpn,Jncn,Conn,MGLHWpn,MCFWpn,DivHWpn,HullAn,HullPn,HullRn,HullBn,HullSIn,Weekday
2,21.840332,1,12.9366484,1.0062875,230.8065643,17.0258312,17.305191,6.6308765,87.5281754,470.263855,0.9094942,1.4741793,3,34.308609,12.9366484,517.0608521,2,7,10.0846415,9.9994383,1.0084527,124.1471863,57.5545654,25.9281006,225.5395355,2.1233072,6.6308765,87.5281754,470.263855,0.9094942,1.4741793,3,34.308609,12.9366484,517.0608521,2,7,10.0846415,9.9994383,1.0084527,124.1471863,57.5545654,25.9281006,225.5395355,2.1233072,6.6308765,87.5281754,470.263855,0.9094942,1.4741793,3,34.308609,12.9366484,517.0608521,2,7,10.0846415,9.9994383,1.0084527,124.1471863,57.5545654,25.9281006,225.5395355,2.1233072,6.6308765,87.5281754,470.263855,0.9094942,1.4741793,3,34.308609,12.9366484,517.0608521,2,7,10.0846415,9.9994383,1.0084527,124.1471863,57.5545654,25.9281006,225.5395355,2.1233072,6.6308765,87.5281754,470.263855,0.9094942,1.4741793,3,34.308609,12.9366484,517.0608521,2,7,10.0846415,9.9994383,1.0084527,124.1471863,57.5545654,25.9281006,225.5395355,2.1233072,6.6308765,87.5281754,470.263855,0.9094942,1.4741793,3,34.308609,12.9366484,517.0608521,2,7,10.0846415,9.9994383,1.0084527,124.1471863,57.5545654,25.9281006,225.5395355,2.1233072,6.6308765,87.5281754,470.263855,0.9094942,1.4741793,3,34.308609,12.9366484,517.0608521,2,7,10.0846415,9.9994383,1.0084527,124.1471863,57.5545654,25.9281006,225.5395355,2.1233072,6.6308765,87.5281754,470.263855,0.9094942,1.4741793,3,34.308609,12.9366484,517.0608521,2,7,10.0846415,9.9994383,1.0084527,124.1471863,57.5545654,25.9281006,225.5395355,2.1233072,6.6308765,87.5281754,470.263855,0.9094942,1.4741793,3,34.308609,12.9366484,517.0608521,2,7,10.0846415,9.9994383,1.0084527,124.1471863,57.5545654,25.9281006,225.5395355,2.1233072,6.6308765,87.5281754,470.263855,0.9094942,1.4741793,3,34.308609,12.9366484,517.0608521,2,7,10.0846415,9.9994383,1.0084527,124.1471863,57.5545654,25.9281006,225.5395355,2.1233072,6.6308765,87.5281754,470.263855,0.9094942,1.4741793,3,34.308609,12.9366484,517.0608521,2,7,10.0846415,9.9994383,1.0084527,124.1471863,57.5545654,25.9281006,225.5395355,2.1233072,954
2,8.9005947,1,0,1,134.5047455,4.4203072,4.4502974,49.5334167,16.1394234,265.9476013,0.5143449,0.0516415,3,34.308609,12.9366484,517.0608521,2,7,10.6674223,8.1801224,1.2967908,124.1471863,57.5545654,31.0107307,39.0255127,2.1233072,49.5334167,16.1394234,265.9476013,0.5143449,0.0516415,3,34.308609,12.9366484,517.0608521,2,7,10.6674223,8.1801224,1.2967908,124.1471863,57.5545654,31.0107307,39.0255127,2.1233072,49.5334167,16.1394234,265.9476013,0.5143449,0.0516415,3,34.308609,12.9366484,517.0608521,2,7,10.6674223,8.1801224,1.2967908,124.1471863,57.5545654,31.0107307,39.0255127,2.1233072,49.5334167,16.1394234,265.9476013,0.5143449,0.0516415,3,34.308609,12.9366484,517.0608521,2,7,10.6674223,8.1801224,1.2967908,124.1471863,57.5545654,31.0107307,39.0255127,2.1233072,49.5334167,16.1394234,265.9476013,0.5143449,0.0516415,3,34.308609,12.9366484,517.0608521,2,7,10.6674223,8.1801224,1.2967908,124.1471863,57.5545654,31.0107307,39.0255127,2.1233072,49.5334167,16.1394234,265.9476013,0.5143449,0.0516415,3,34.308609,12.9366484,517.0608521,2,7,10.6674223,8.1801224,1.2967908,124.1471863,57.5545654,31.0107307,39.0255127,2.1233072,49.5334167,16.1394234,265.9476013,0.5143449,0.0516415,3,34.308609,12.9366484,517.0608521,2,7,10.6674223,8.1801224,1.2967908,124.1471863,57.5545654,31.0107307,39.0255127,2.1233072,49.5334167,16.1394234,265.9476013,0.5143449,0.0516415,3,34.308609,12.9366484,517.0608521,2,7,10.6674223,8.1801224,1.2967908,124.1471863,57.5545654,31.0107307,39.0255127,2.1233072,49.5334167,16.1394234,265.9476013,0.5143449,0.0516415,3,34.308609,12.9366484,517.0608521,2,7,10.6674223,8.1801224,1.2967908,124.1471863,57.5545654,31.0107307,39.0255127,2.1233072,49.5334167,16.1394234,265.9476013,0.5143449,0.0516415,3,34.308609,12.9366484,517.0608521,2,7,10.6674223,8.1801224,1.2967908,124.1471863,57.5545654,31.0107307,39.0255127,2.1233072,49.5334167,16.1394234,265.9476013,0.5143449,0.0516415,3,34.308609,12.9366484,517.0608521,2,7,10.6674223,8.1801224,1.2967908,124.1471863,57.5545654,31.0107307,39.0255127,2.1233072,209
5,62.3917274,1,88.2681274,1.1726184,124.2984543,75.3299255,75.3299255,58.413044,890.1315918,66304.875,1.9396498,3.5258584,7,320.4466858,193.6618805,35382.65234,5,17,58.0976639,47.2448463,1.2262633,6166.479004,422.4025574,124.3368225,1.9773446,2.3025336,104.3274918,1113.156494,230027.3438,3.9395475,6.3335156,23,748.3183594,384.6181335,68631.85156,14,44,94.3844604,73.1876373,1.2900475,22877.67773,637.8777466,145.5669556,3.9048769,1.415315,147.4830627,1240.907471,570989.8125,6.2198472,8.6557102,49,1667.57019,1331.633911,99288.98438,31,97,122.0507126,87.9540634,1.4684545,50306.55859,946.8966064,220.4868317,158.825119,1.4183083,219.831192,1449.559082,995983.875,9.2835436,14.3824339,87,2879.609131,3682.396484,166900.3906,54,170,164.526123,108.856987,1.6215512,67647.57813,1066.484863,262.6166687,154.9322357,1.3379728,229.4670868,1466.341797,1381264.875,10.1583834,15.7843313,115,4012.588379,4991.070313,174339.875,71,225,170.8162994,111.3310394,1.6371783,89261.78906,1223.706055,271.1721191,164.6291046,1.3349923,233.4391022,1470.179077,1625541.5,10.8427258,17.1133614,141,6087.90918,6564.512207,176475.0313,88,279,174.5982513,112.891304,1.6491696,246369.4688,1993.827637,409.2570496,131.8348694,1.2840397,241.0256653,1474.961182,1958475.75,11.8570805,19.1197033,179,9255.790039,8255.630859,179642.9219,111,349,183.0742035,116.9120255,1.6643177,585905.75,2979.626953,742.0804443,82.523407,1.2058302,247.3923798,1477.930298,2336760.75,11.4233398,18.2269001,220,11499.67676,9300.219727,181886.8125,134,421,189.4281311,120.0896835,1.6685911,750375.3125,3327.753418,742.0804443,82.523407,1.1743941,283.2244873,1491.185669,2874166.25,10.6337194,16.6389465,279,14611.31934,10990.69727,193237.9844,173,547,226.8740692,143.127533,1.6735654,942381.625,3786.852295,767.1619263,302.9700623,1.2109329,373.4337463,1521.638428,3745634.75,10.0043259,15.3511972,379,18707.78711,13224.6416,222638.7188,227,727,317.3584595,202.4747162,1.6569409,1124865.5,4084.84082,908.2403564,300.7160034,1.1804289,1807.441284,6817.219238,47208264,4.9972911,4.9620028,2732,108571.0547,108961.125,9446771,1462,4712,1779.715088,910.1072388,1.949663,5539375,8738.858398,1710.689453,347.5287781,1.0970812,238
2,23.2682915,0.9999999,5.0502248,1.0009087,281.3749695,13.1299582,14.1592579,18.3741169,5799.526856,53382.67969,0.959862,1.4488474,4,90.4160843,83.5634537,51871.98828,4,13,22.3231087,21.9528885,1.0246164,659.569519,146.0037384,60.8832436,117.9953842,2.5719204,62.2418365,6007.979981,191217.125,2.0325565,3.4059777,16,485.8745117,323.6020813,80520.71094,13,41,30.5829239,22.8948612,1.4071277,8552.165039,428.1015015,166.5898438,162.6866608,1.7053266,169.8070984,6377.353027,763894.4375,3.4015875,5.9590869,69,1674.951782,809.2105713,176039.6719,56,176,81.8230515,50.1024742,1.6876482,52344.78125,982.9996338,271.9299622,168.9932861,1.4690056,280.3520203,7274.203613,2090484,5.6424122,10.3417053,182,4352.134277,3791.61084,482527.1563,124,397,147.2437439,92.6427002,1.8677931,145331.5,1493.848511,386.3503113,176.4154663,1.2219219,341.9624329,7883.125488,3822507.5,6.9988708,13.0340519,336,7298.342285,5645.285156,755897.3125,221,710,200.0688019,118.5954971,1.9171629,197212.875,1748.573608,407.684906,172.4336548,1.2337373,395.2313843,8348.132813,5196032,6.8784909,12.7840986,459,11318.12207,9333.111328,1012159.813,284,917,256.2472534,147.9763489,1.9120331,285025.3125,2081.119629,452.8701172,152.3758545,1.2092074,457.1008911,8835.405273,6384271,6.1700625,11.3607597,556,15483.1416,13198.73633,1330136.125,334,1076,327.4897766,187.2309418,1.8853678,427676.5625,2551.234863,529.2033691,178.9429474,1.2110877,497.9264526,9139.271484,7268475,5.3047318,9.6271181,631,20072.46094,18130.15039,1554667.5,368,1189,367.098938,208.8674774,1.8732065,672081.25,3141.114746,655.8550415,185.5073547,1.1682504,527.1634521,9300.587891,8212365.5,4.6919551,8.4001245,719,23437.35938,20776.92578,1692723.375,427,1377,388.7835693,221.3874817,1.8646929,797078.125,3410.154541,721.77771,189.7922058,1.1610137,597.1386108,9645.926758,9807952,4.5038562,8.0212831,858,28892.17773,24939.41406,2022579.25,512,1649,440.8905029,252.4230194,1.8435746,1121443.25,4024.203613,778.0977783,303.5514221,1.1491394,1549.837402,14096.52832,32828790,3.4751337,5.9531727,2732,108571.0547,108961.125,9446771,1462,4712,1494.414307,871.0735474,1.7892677,5539375,8738.858398,2486.703613,175.9677124,1.0970812,239
2,210.4871826,0.9999999,422.9942627,1.110798,243.3879547,314.3478088,309.240509,79.6757278,129.7784424,5449.217285,0.4987322,0.0525109,3,241.132431,422.9942627,10196.81055,3,10,118.4852982,116.5873642,1.0178179,2278.973633,435.9555054,139.3441925,73.5848846,6.6364398,154.1855621,914.5021362,68548.28906,0.5085521,0.0213505,12,623.5412598,708.746582,132185.2188,7,24,163.4431458,137.9900055,1.1919832,14621.42676,599.7930908,186.9971008,55.2339134,1.9579576,204.9575958,1901.068848,186043.9219,0.5116503,0.0248525,26,1345.526856,1625.338867,361703.8125,16,55,208.5439606,149.4998779,1.4052119,43916.75,830.1276855,250.5125122,85.1215515,1.2486759,253.0842896,2331.100098,271159.2813,0.5189769,0.0390373,55,2294.46167,2258.998047,518042.4063,33,110,234.7361603,159.0376282,1.4822421,79408.75781,1102.324341,280.0855103,75.9369507,1.2177007,293.5348816,2617.30542,346693.9063,0.5261475,0.0531616,107,3792.066406,3692.980957,647641.875,73,240,267.225647,165.6766815,1.6004348,134110.4219,1397.411865,322.1784973,94.7615433,1.1587145,376.3104553,3142.489502,523792.2188,0.5507742,0.102145,238,6936.158203,5924.445801,940797.25,162,519,337.7431946,199.2351532,1.676097,222714.5156,1793.185303,386.202179,131.5541229,1.1489257,462.5789185,3805.765137,778850.9375,0.5732771,0.1469633,421,11498.16406,9866.429688,1371771.5,270,869,409.0963745,223.2513123,1.8304604,376888.2188,2367.578125,517.56073,17.9778805,1.1835489,495.5776978,4060.498291,902057.875,0.580606,0.1615719,576,17188.58594,15496.67578,1559248.875,349,1131,428.414978,234.2937469,1.8343239,585724.5625,2876.505615,555.7732544,336.2741089,1.1241574,532.2737427,4273.114258,1017532.438,0.5823537,0.16503,697,22439.61133,20012.67969,1739681.125,413,1338,447.0179443,243.7102966,1.8434633,710590.875,3161.907715,600.0693359,306.9023132,1.1196154,610.0281982,4686.680176,1239306,0.5795682,0.1593995,813,28479.93555,25453.97852,2133553.25,477,1539,492.2383118,259.0943909,1.9009864,1068642.25,3877.98877,778.9110718,14.8311434,1.1198784,1531.930298,9070.5625,5298156,0.5608431,0.1217455,2732,108571.0547,108961.125,9446771,1462,4712,1487.347046,783.451355,2.0151606,5539375,8738.858398,2468.298584,171.7272644,1.0970812,33
5,36.6048737,1,92.5591431,1.0881464,315.4125977,64.0257111,64.5820084,63.7253609,1341.69165,79555.21094,3.1151841,5.4501033,10,345.0533447,207.1556244,65523.97266,7,24,51.5025787,48.6028671,1.0700117,7035.448242,452.6424255,108.9172058,118.4573975,2.3174422,136.4689026,2009.949463,828001,12.3725157,8.6947155,43,1128.172607,600.9974976,182256.3438,31,106,86.218071,64.5491791,1.3437032,53080.69922,983.7565308,254.7740479,302.2137756,1.4508709,211.8456879,3026.552246,3448977.25,26.9277515,13.4348249,103,3686.336426,2366.697266,447531.9688,65,216,126.4173431,69.1134567,2.0200031,136263.2813,1593.925903,351.1446533,121.0957108,1.4837049,262.6358337,3645.651367,10282556,47.0786896,18.2613564,169,6565.269043,4956.797363,670990.125,99,325,164.5982819,99.2861481,2.0241108,299283.8438,2156.093506,445.2453613,128.0341492,1.2360671,330.065094,4491.100586,23152858,63.5179367,13.5484476,253,10614.62891,8779.785156,1049045.125,154,506,196.8694305,118.9717331,2.0689969,442090.7188,2573.334473,522.9857788,126.5770798,1.1919862,410.4571838,5594.580078,44516640,73.5960617,11.2873011,407,15036.09473,12978.9209,1654130.375,244,796,268.7903748,168.3529358,2.2851923,621714.75,2951.291016,592.4915771,133.2197418,1.114867,447.6289673,6093.601074,75869632,77.975174,6.868783,547,19406.44727,15686.4082,1973180.625,322,1049,290.4555359,178.0774994,2.4274569,750427.375,3273.414551,664.9708862,133.3843231,1.1362751,492.7565613,6580.509766,111195896,82.722702,6.6066408,721,24831.29102,19691.44727,2333089.5,415,1354,336.3148804,212.0886993,2.4876232,1084657.375,3847.430176,777.6234741,204.692215,1.0860231,509.6610107,6720.472168,156734352,92.0267258,5.9358907,846,29084.27344,23971.70117,2451097.5,476,1551,351.8266602,222.9424286,2.4933028,1134915.25,3933.096191,828.8637695,203.9001923,1.0846655,537.696167,6890.458008,217638432,106.8401413,5.1535459,934,32112.60742,27424.13086,2614037.25,523,1700,389.5704651,248.7013397,2.4316254,1297743,4301.499023,985.6333008,107.4306107,1.1345956,1377.437988,11183.76172,2726183936,288.5837097,3.1229012,2732,108571.0547,108961.125,9446771,1462,4712,1399.717529,956.456543,1.7533661,5539375,8738.858398,2765.17627,170.4949188,1.0970812,535
2,35.1138763,1,20.3159676,1.0091323,29.6840324,27.4410725,27.7132225,31.3432808,4.0935245,38.915062,0.6465224,1.1533489,2,54.4208679,140.5480194,54.4208679,2,6,17.2056522,14.9999418,1.106779,281.1176147,89.5185242,46.3023415,65.4230881,2.2684433,48.0739746,4.2269254,63.8142471,0.923434,1.5243624,3,69.1053619,302.5578613,69.1053619,2,6,18.8404846,15.5747423,1.1704341,338.2678528,93.3803482,46.3023415,65.4230881,2.051353,48.0739746,4.2269254,63.8142471,0.923434,1.5243624,3,69.1053619,302.5578613,69.1053619,2,6,18.8404846,15.5747423,1.1704341,338.2678528,93.3803482,46.3023415,65.4230881,2.051353,48.0739746,4.2269254,63.8142471,0.923434,1.5243624,3,69.1053619,302.5578613,69.1053619,2,6,18.8404846,15.5747423,1.1704341,338.2678528,93.3803482,46.3023415,65.4230881,2.051353,48.0739746,4.2269254,63.8142471,0.923434,1.5243624,3,69.1053619,302.5578613,69.1053619,2,6,18.8404846,15.5747423,1.1704341,338.2678528,93.3803482,46.3023415,65.4230881,2.051353,48.0739746,4.2269254,63.8142471,0.923434,1.5243624,3,69.1053619,302.5578613,69.1053619,2,6,18.8404846,15.5747423,1.1704341,338.2678528,93.3803482,46.3023415,65.4230881,2.051353,48.0739746,4.2269254,63.8142471,0.923434,1.5243624,3,69.1053619,302.5578613,69.1053619,2,6,18.8404846,15.5747423,1.1704341,338.2678528,93.3803482,46.3023415,65.4230881,2.051353,48.0739746,4.2269254,63.8142471,0.923434,1.5243624,3,69.1053619,302.5578613,69.1053619,2,6,18.8404846,15.5747423,1.1704341,338.2678528,93.3803482,46.3023415,65.4230881,2.051353,48.0739746,4.2269254,63.8142471,0.923434,1.5243624,3,69.1053619,302.5578613,69.1053619,2,6,18.8404846,15.5747423,1.1704341,338.2678528,93.3803482,46.3023415,65.4230881,2.051353,48.0739746,4.2269254,63.8142471,0.923434,1.5243624,3,69.1053619,302.5578613,69.1053619,2,6,18.8404846,15.5747423,1.1704341,338.2678528,93.3803482,46.3023415,65.4230881,2.051353,48.0739746,4.2269254,63.8142471,0.923434,1.5243624,3,69.1053619,302.5578613,69.1053619,2,6,18.8404846,15.5747423,1.1704341,338.2678528,93.3803482,46.3023415,65.4230881,2.051353,282
2,51.0489349,1,117.6942444,1.1552172,110.8435898,83.497467,84.2859879,29.6303959,55.5969276,1303.408325,0.8219051,1.9314306,2,105.4189529,251.3860474,1585.838013,1,3,18.2400417,15.5430832,1.1626147,1494.627197,162.9797058,59.9247284,359.6765747,1.4142439,41.7242584,57.1316719,2172.415283,1.2120256,2.5632925,3,311.9647827,307.1728821,1792.383911,2,6,30.9801445,24.6226177,1.1859742,8212.658203,493.8331299,186.2391205,163.8723755,2.3630168,41.7242584,57.1316719,2172.415283,1.2120256,2.5632925,3,311.9647827,307.1728821,1792.383911,2,6,30.9801445,24.6226177,1.1859742,8212.658203,493.8331299,186.2391205,163.8723755,2.3630168,41.7242584,57.1316719,2172.415283,1.2120256,2.5632925,3,311.9647827,307.1728821,1792.383911,2,6,30.9801445,24.6226177,1.1859742,8212.658203,493.8331299,186.2391205,163.8723755,2.3630168,41.7242584,57.1316719,2172.415283,1.2120256,2.5632925,3,311.9647827,307.1728821,1792.383911,2,6,30.9801445,24.6226177,1.1859742,8212.658203,493.8331299,186.2391205,163.8723755,2.3630168,41.7242584,57.1316719,2172.415283,1.2120256,2.5632925,3,311.9647827,307.1728821,1792.383911,2,6,30.9801445,24.6226177,1.1859742,8212.658203,493.8331299,186.2391205,163.8723755,2.3630168,41.7242584,57.1316719,2172.415283,1.2120256,2.5632925,3,311.9647827,307.1728821,1792.383911,2,6,30.9801445,24.6226177,1.1859742,8212.658203,493.8331299,186.2391205,163.8723755,2.3630168,41.7242584,57.1316719,2172.415283,1.2120256,2.5632925,3,311.9647827,307.1728821,1792.383911,2,6,30.9801445,24.6226177,1.1859742,8212.658203,493.8331299,186.2391205,163.8723755,2.3630168,41.7242584,57.1316719,2172.415283,1.2120256,2.5632925,3,311.9647827,307.1728821,1792.383911,2,6,30.9801445,24.6226177,1.1859742,8212.658203,493.8331299,186.2391205,163.8723755,2.3630168,41.7242584,57.1316719,2172.415283,1.2120256,2.5632925,3,311.9647827,307.1728821,1792.383911,2,6,30.9801445,24.6226177,1.1859742,8212.658203,493.8331299,186.2391205,163.8723755,2.3630168,41.7242584,57.1316719,2172.415283,1.2120256,2.5632925,3,311.9647827,307.1728821,1792.383911,2,6,30.9801445,24.6226177,1.1859742,8212.658203,493.8331299,186.2391205,163.8723755,2.3630168,168
2,54.370018,1,133.691803,1.0728565,208.8148041,92.3548431,94.0309143,76.5095749,21.3445835,811.0423584,0.5114282,0.0685694,2,105.4189529,251.3860474,1585.838013,2,6,51.5237007,37.7075462,1.3607607,1494.627197,162.9797058,63.5470581,139.4890137,1.4142439,87.4352188,22.55019,941.5002441,0.5252783,0.0910017,3,311.9647827,307.1728821,1792.383911,2,6,60.6197052,48.032238,1.3220431,8212.658203,493.8331299,223.0989075,161.3988953,2.3630168,87.4352188,22.55019,941.5002441,0.5252783,0.0910017,3,311.9647827,307.1728821,1792.383911,2,6,60.6197052,48.032238,1.3220431,8212.658203,493.8331299,223.0989075,161.3988953,2.3630168,87.4352188,22.55019,941.5002441,0.5252783,0.0910017,3,311.9647827,307.1728821,1792.383911,2,6,60.6197052,48.032238,1.3220431,8212.658203,493.8331299,223.0989075,161.3988953,2.3630168,87.4352188,22.55019,941.5002441,0.5252783,0.0910017,3,311.9647827,307.1728821,1792.383911,2,6,60.6197052,48.032238,1.3220431,8212.658203,493.8331299,223.0989075,161.3988953,2.3630168,87.4352188,22.55019,941.5002441,0.5252783,0.0910017,3,311.9647827,307.1728821,1792.383911,2,6,60.6197052,48.032238,1.3220431,8212.658203,493.8331299,223.0989075,161.3988953,2.3630168,87.4352188,22.55019,941.5002441,0.5252783,0.0910017,3,311.9647827,307.1728821,1792.383911,2,6,60.6197052,48.032238,1.3220431,8212.658203,493.8331299,223.0989075,161.3988953,2.3630168,87.4352188,22.55019,941.5002441,0.5252783,0.0910017,3,311.9647827,307.1728821,1792.383911,2,6,60.6197052,48.032238,1.3220431,8212.658203,493.8331299,223.0989075,161.3988953,2.3630168,87.4352188,22.55019,941.5002441,0.5252783,0.0910017,3,311.9647827,307.1728821,1792.383911,2,6,60.6197052,48.032238,1.3220431,8212.658203,493.8331299,223.0989075,161.3988953,2.3630168,87.4352188,22.55019,941.5002441,0.5252783,0.0910017,3,311.9647827,307.1728821,1792.383911,2,6,60.6197052,48.032238,1.3220431,8212.658203,493.8331299,223.0989075,161.3988953,2.3630168,87.4352188,22.55019,941.5002441,0.5252783,0.0910017,3,311.9647827,307.1728821,1792.383911,2,6,60.6197052,48.032238,1.3220431,8212.658203,493.8331299,223.0989075,161.3988953,2.3630168,252
3,26.2626801,1,143.4346313,1.1316155,265.9927368,82.008606,84.4385529,54.5037308,60.6199913,1610.529663,0.5057814,0.0226756,4,104.381752,234.0355835,3151.025635,3,10,35.6267509,32.5588226,1.0921695,969.1311646,140.9196167,61.3061714,245.8459473,1.6306114,130.7597656,126.5844421,6655.534668,0.50414,0.0109726,13,350.7229004,497.7735596,13004.6709,11,35,71.8344269,60.6325226,1.1929514,8966.550781,430.7231445,140.3144379,225.7918549,1.6464977,233.9155579,320.0767822,31988.69531,0.5052288,0.0110122,34,957.0639038,1648.325928,63145.73828,22,69,148.4114838,113.7458801,1.3075652,19764.88867,571.8203125,183.461853,277.8320923,1.3164819,291.3664856,508.5477295,64908.32031,0.5087488,0.0177705,60,1967.242065,3701.596191,128275.8984,37,118,198.6217804,144.1772766,1.4004316,45089.55078,833.9116211,230.8978424,233.8110962,1.2273099,326.7411499,591.5,83862.25781,0.5088323,0.0178764,90,3012.367676,4652.053711,165395.8906,56,175,209.8576508,151.4508972,1.4037718,68869.3125,1029.444214,280.8919678,190.98909,1.2245317,333.5107117,602.6530762,87310.10938,0.5116091,0.0234226,130,4609.066895,5864.56543,171241.0938,79,247,212.3279877,152.7735443,1.4097084,99186.01563,1229.69104,315.4091187,180.228363,1.2131981,335.4603577,604.2973633,88105.25781,0.511957,0.0241173,150,5674.098633,6674.728027,172306.125,94,296,214.1527405,153.0814819,1.4214916,109865.8438,1277.728027,344.3386536,188.3449097,1.1825085,347.4675293,611.8804932,91046.90625,0.5118283,0.0238536,165,7408.355469,7447.28125,177795.4844,100,314,226.1048126,155.8324585,1.4580177,299363.7188,2087.543457,487.5136108,200.2690582,1.1584092,354.2695618,614.8433838,92488.04688,0.5112133,0.0226208,179,9156.405273,8262.335938,180283.8281,108,341,232.5039825,157.4924774,1.4754236,445929.2813,2494.516846,490.3833618,226.9567261,1.110445,364.9253845,618.3413086,94614.13281,0.5105319,0.0212546,216,12463.11621,9823.833008,183590.5469,134,420,245.1590271,162.323288,1.4908133,798207.4375,3387.548584,658.277832,294.3525085,1.1440511,2051.178955,5262.667969,4759242.5,0.5037957,0.0075951,2732,108571.0547,108961.125,9446771,1462,4712,2012.118897,964.2145996,2.0698383,5539375,8738.858398,1692.228027,324.6228943,1.0970812,17
